Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,Actual_Attrition,Predicted_Risk_Percentage
52,771,2,4,1,79,2,5,3,19068,21030,1,1,18,3,4,0,33,2,4,33,7,15,12,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,0,75.74
41,906,5,2,1,95,2,1,1,2107,20293,6,0,17,3,1,1,5,2,1,1,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1,69.24
33,118,16,3,1,69,3,2,1,5324,26507,5,0,15,3,3,0,6,3,3,3,2,0,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,65.85
29,115,13,3,1,51,3,2,2,5765,17485,5,0,11,3,1,0,7,4,1,5,3,0,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,1,62.33
19,504,10,3,1,96,2,1,2,1859,6148,1,1,25,4,2,0,1,2,4,1,1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,1,60.23
32,1318,10,4,4,79,3,2,4,4648,26075,8,0,13,3,3,0,4,2,4,0,0,0,0,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,0,59.96
48,1108,15,4,3,65,3,1,1,2367,16530,8,0,12,3,4,1,10,3,2,8,2,7,6,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0,59.19
38,322,7,2,1,44,4,2,1,5605,19191,1,1,24,4,3,1,8,3,3,8,0,7,7,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,58.32
54,157,10,3,3,77,3,2,1,4440,25198,6,1,19,3,4,0,9,3,3,5,2,1,4,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,0,56.5
40,299,25,4,4,57,2,3,2,9094,17235,2,1,12,3,3,0,9,2,3,5,4,1,0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,1,51.57
